Type,Family,Model Name,Input Size,Accuracy
TBD,TBD,bat_resnext26ts.ch_in1k,256,78.28
TBD,TBD,beit_base_patch16_224.in22k_ft_in22k_in1k,224,85.244
TBD,TBD,beit_base_patch16_384.in22k_ft_in22k_in1k,384,86.816
TBD,TBD,beit_large_patch16_224.in22k_ft_in22k_in1k,224,87.488
TBD,TBD,beit_large_patch16_384.in22k_ft_in22k_in1k,384,88.382
TBD,TBD,beit_large_patch16_512.in22k_ft_in22k_in1k,512,88.578
TBD,TBD,beitv2_base_patch16_224.in1k_ft_in1k,224,85.596
TBD,TBD,beitv2_base_patch16_224.in1k_ft_in22k_in1k,224,86.494
TBD,TBD,beitv2_large_patch16_224.in1k_ft_in1k,224,87.414
TBD,TBD,beitv2_large_patch16_224.in1k_ft_in22k_in1k,224,88.406
TBD,TBD,botnet26t_256.c1_in1k,256,79.256
TBD,TBD,caformer_b36.sail_in1k,224,85.502
TBD,TBD,caformer_b36.sail_in1k_384,384,86.404
TBD,TBD,caformer_b36.sail_in22k_ft_in1k,224,87.44
TBD,TBD,caformer_b36.sail_in22k_ft_in1k_384,384,88.066
TBD,TBD,caformer_m36.sail_in1k,224,85.24
TBD,TBD,caformer_m36.sail_in1k_384,384,86.16
TBD,TBD,caformer_m36.sail_in22k_ft_in1k,224,86.608
TBD,TBD,caformer_m36.sail_in22k_ft_in1k_384,384,87.472
TBD,TBD,caformer_s18.sail_in1k,224,83.668
TBD,TBD,caformer_s18.sail_in1k_384,384,85.036
TBD,TBD,caformer_s18.sail_in22k_ft_in1k,224,84.086
TBD,TBD,caformer_s18.sail_in22k_ft_in1k_384,384,85.424
TBD,TBD,caformer_s36.sail_in1k,224,84.544
TBD,TBD,caformer_s36.sail_in1k_384,384,85.756
TBD,TBD,caformer_s36.sail_in22k_ft_in1k,224,85.788
TBD,TBD,caformer_s36.sail_in22k_ft_in1k_384,384,86.864
TBD,TBD,cait_m36_384.fb_dist_in1k,384,86.064
TBD,TBD,cait_m48_448.fb_dist_in1k,448,86.482
TBD,TBD,cait_s24_224.fb_dist_in1k,224,83.484
TBD,TBD,cait_s24_384.fb_dist_in1k,384,85.042
TBD,TBD,cait_s36_384.fb_dist_in1k,384,85.458
TBD,TBD,cait_xs24_384.fb_dist_in1k,384,84.064
TBD,TBD,cait_xxs24_224.fb_dist_in1k,224,78.392
TBD,TBD,cait_xxs24_384.fb_dist_in1k,384,80.962
TBD,TBD,cait_xxs36_224.fb_dist_in1k,224,79.738
TBD,TBD,cait_xxs36_384.fb_dist_in1k,384,82.208
TBD,TBD,coat_lite_medium.in1k,224,83.602
TBD,TBD,coat_lite_medium_384.in1k,384,84.894
TBD,TBD,coat_lite_mini.in1k,224,79.096
TBD,TBD,coat_lite_small.in1k,224,82.302
TBD,TBD,coat_lite_tiny.in1k,224,77.548
TBD,TBD,coat_mini.in1k,224,81.304
TBD,TBD,coat_small.in1k,224,82.376
TBD,TBD,coat_tiny.in1k,224,78.442
TBD,TBD,coatnet_0_rw_224.sw_in1k,224,82.394
TBD,TBD,coatnet_1_rw_224.sw_in1k,224,83.612
TBD,TBD,coatnet_2_rw_224.sw_in12k_ft_in1k,224,86.58
TBD,TBD,coatnet_bn_0_rw_224.sw_in1k,224,82.394
TBD,TBD,coatnet_nano_rw_224.sw_in1k,224,81.704
TBD,TBD,coatnet_rmlp_1_rw_224.sw_in1k,224,83.354
TBD,TBD,coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,224,84.94
TBD,TBD,coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,224,86.54
TBD,TBD,coatnet_rmlp_2_rw_224.sw_in1k,224,84.602
TBD,TBD,coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,384,87.402
TBD,TBD,coatnet_rmlp_nano_rw_224.sw_in1k,224,82.062
TBD,TBD,coatnext_nano_rw_224.sw_in1k,224,81.998
TBD,TBD,convformer_b36.sail_in1k,224,84.83
