model_name,input_size_csv,input_size_cfg,crop_pct_csv,crop_pct_cfg,params_csv,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations
bat_resnext26ts.ch_in1k,256,256,0.9,0.9,10.73,10731200,2481540072,10731200,2517770216,83730592
beit_base_patch16_224.in22k_ft_in22k_in1k,224,224,0.9,0.9,86.53,86530984,180319720,86530984,12691038184,49777616
beit_base_patch16_384.in22k_ft_in22k_in1k,384,384,1.0,1.0,86.74,86744104,404744680,86744104,37170869224,145792976
beit_large_patch16_224.in22k_ft_in22k_in1k,224,224,0.9,0.9,304.43,304430568,382106600,304430568,44842152936,131729360
beit_large_patch16_384.in22k_ft_in22k_in1k,384,384,1.0,1.0,305,304998888,681339880,304998888,131339248616,385824720
beit_large_patch16_512.in22k_ft_in22k_in1k,512,512,1.0,1.0,305.67,305674728,1034120168,305674728,233314771944,685389776
beitv2_base_patch16_224.in1k_ft_in1k,224,224,0.9,0.9,86.53,86530984,180319720,86530984,12691038184,49777616
beitv2_base_patch16_224.in1k_ft_in22k_in1k,224,224,0.9,0.9,86.53,86530984,180319720,86530984,12691038184,49777616
beitv2_large_patch16_224.in1k_ft_in1k,224,224,0.95,0.95,304.43,304430568,382106600,304430568,44842152936,131729360
beitv2_large_patch16_224.in1k_ft_in22k_in1k,224,224,0.95,0.95,304.43,304430568,382106600,304430568,44842152936,131729360
botnet26t_256.c1_in1k,256,256,0.95,0.95,12.49,12488672,3179365352,12488672,3199091688,75689888
caformer_b36.sail_in1k,224,224,1.0,1.0,98.75,98753614,10381390312,98753614,22500860136,236414648
caformer_b36.sail_in1k_384,384,384,1.0,1.0,98.75,98753614,30347015912,98753614,66114426856,694725048
caformer_b36.sail_in22k_ft_in1k,224,224,1.0,1.0,98.75,98753614,10381390312,98753614,22500860136,236414648
caformer_b36.sail_in22k_ft_in1k_384,384,384,1.0,1.0,98.75,98753614,30347015912,98753614,66114426856,694725048
caformer_m36.sail_in1k,224,224,1.0,1.0,56.2,56204878,5917701736,56204878,12745918888,177311736
caformer_m36.sail_in1k_384,384,384,1.0,1.0,56.2,56204878,17298786856,56204878,37450339048,521044536
caformer_m36.sail_in22k_ft_in1k,224,224,1.0,1.0,56.2,56204878,5917701736,56204878,12745918888,177311736
caformer_m36.sail_in22k_ft_in1k_384,384,384,1.0,1.0,56.2,56204878,17298786856,56204878,37450339048,521044536
caformer_s18.sail_in1k,224,224,1.0,1.0,26.34,26341656,1269168168,26341656,3894691560,66411704
caformer_s18.sail_in1k_384,384,384,1.0,1.0,26.34,26341656,3684022568,26341656,11439606760,195137464
caformer_s18.sail_in22k_ft_in1k,224,224,1.0,1.0,26.34,26341656,1269168168,26341656,3894691560,66411704
caformer_s18.sail_in22k_ft_in1k_384,384,384,1.0,1.0,26.34,26341656,3684022568,26341656,11439606760,195137464
caformer_s36.sail_in1k,224,224,1.0,1.0,39.3,39297102,2756011944,39297102,7553425128,127601336
caformer_s36.sail_in1k_384,384,384,1.0,1.0,39.3,39297102,8032065704,39297102,22191803368,374960056
caformer_s36.sail_in22k_ft_in1k,224,224,1.0,1.0,39.3,39297102,2756011944,39297102,7553425128,127601336
caformer_s36.sail_in22k_ft_in1k_384,384,384,1.0,1.0,39.3,39297102,8032065704,39297102,22191803368,374960056
cait_m36_384.fb_dist_in1k,384,384,1.0,1.0,271.22,271221352,610310248,271221352,155284353256,1056424400
cait_m48_448.fb_dist_in1k,448,448,1.0,1.0,356.46,356460520,818214376,356460520,285285986536,2290483664
cait_s24_224.fb_dist_in1k,224,224,1.0,1.0,46.92,46916200,104403304,46916200,8668631656,77246672
cait_s24_384.fb_dist_in1k,384,384,1.0,1.0,47.06,47062120,216615784,47062120,26223975016,353035472
cait_s36_384.fb_dist_in1k,384,384,1.0,1.0,68.37,68366632,237911080,68366632,39078304360,528213200
cait_xs24_384.fb_dist_in1k,384,384,1.0,1.0,26.67,26670088,153835336,26670088,14826042568,264777104
cait_xxs24_224.fb_dist_in1k,224,224,1.0,1.0,11.96,11956264,40699816,11956264,2194127656,38624336
cait_xxs24_384.fb_dist_in1k,384,384,1.0,1.0,12.03,12029224,96806056,12029224,6656069416,176518736
cait_xxs36_224.fb_dist_in1k,224,224,1.0,1.0,17.3,17299720,46038664,17299720,3261596968,57703760
cait_xxs36_384.fb_dist_in1k,384,384,1.0,1.0,17.37,17372680,102144904,17372680,9898184488,264107600
coat_lite_medium.in1k,224,224,0.9,0.9,44.57,85830632,395144808,44571048,10408865256,112428752
coat_lite_medium_384.in1k,384,384,1.0,1.0,44.57,85830632,1077101928,44571048,30505113576,329825232
coat_lite_mini.in1k,224,224,0.9,0.9,11.01,16311528,141937384,11011560,2044130280,37342928
coat_lite_small.in1k,224,224,0.9,0.9,19.84,34828200,178536744,19838504,4163245352,66868944
coat_lite_tiny.in1k,224,224,0.9,0.9,5.72,8433512,112718376,5721960,1649274472,35758160
coat_mini.in1k,224,224,0.9,0.9,10.34,18466204,298536448,10337004,7249941288,57030456
coat_small.in1k,224,224,0.9,0.9,21.69,38941412,454140104,21693908,13157128600,68189760
coat_tiny.in1k,224,224,0.9,0.9,5.5,9747548,216413888,5498540,4690508200,50163192
coatnet_0_rw_224.sw_in1k,224,224,0.95,0.95,27.44,27435562,4214267496,27435562,4231185896,67137056
coatnet_1_rw_224.sw_in1k,224,224,0.95,0.95,41.72,41721502,7598357928,41721502,7622542248,117394656
coatnet_2_rw_224.sw_in12k_ft_in1k,224,224,0.95,0.95,73.87,73868400,14494337128,73868400,14531130600,172180256
coatnet_bn_0_rw_224.sw_in1k,224,224,0.95,0.95,27.44,27435562,4455112296,27435562,4475844072,80659488
coatnet_nano_rw_224.sw_in1k,224,224,0.9,0.9,15.14,15141244,2272859240,15141244,2287047144,61754656
coatnet_rmlp_1_rw_224.sw_in1k,224,224,0.95,0.95,41.69,41691982,7359842706,41691982,7448648126,126750182
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,224,224,0.95,0.95,41.72,41724622,7601575314,41724622,7713353150,145671142
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,224,224,0.95,0.95,73.88,73881264,14498269600,73881264,14643063728,202684200
coatnet_rmlp_2_rw_224.sw_in1k,224,224,0.95,0.95,73.88,73881264,14498269600,73881264,14643063728,202684200
coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,384,384,1.0,1.0,73.88,73881264,42594538080,73881264,43035559408,645617720
coatnet_rmlp_nano_rw_224.sw_in1k,224,224,0.9,0.9,15.15,15145116,2466424212,15145116,2505049884,83447844
coatnext_nano_rw_224.sw_in1k,224,224,0.9,0.9,14.7,14701244,2356428136,14701244,2364994280,42630560
convformer_b36.sail_in1k,224,224,1.0,1.0,99.88,99882616,22630196200,99882616,22696621800,247930040
convformer_b36.sail_in1k_384,384,384,1.0,1.0,99.88,99882616,66494453480,99882616,66689726440,728566200
convformer_b36.sail_in22k_ft_in1k,224,224,1.0,1.0,99.88,99882616,22630196200,99882616,22696621800,247930040
convformer_b36.sail_in22k_ft_in1k_384,384,384,1.0,1.0,99.88,99882616,66494453480,99882616,66689726440,728566200
convformer_m36.sail_in1k,224,224,1.0,1.0,57.05,57051640,12842920936,57051640,12892740136,185948280
convformer_m36.sail_in1k_384,384,384,1.0,1.0,57.05,57051640,37735359016,57051640,37881813736,546425400
convformer_m36.sail_in22k_ft_in1k,224,224,1.0,1.0,57.05,57051640,12842920936,57051640,12892740136,185948280
convformer_m36.sail_in22k_ft_in1k_384,384,384,1.0,1.0,57.05,57051640,37735359016,57051640,37881813736,546425400
convformer_s18.sail_in1k,224,224,1.0,1.0,26.77,26774448,3941391912,26774448,3959945448,70250168
convformer_s18.sail_in1k_384,384,384,1.0,1.0,26.77,26774448,11576826152,26774448,11631373288,206417848
convformer_s18.sail_in22k_ft_in1k,224,224,1.0,1.0,26.77,26774448,3941391912,26774448,3959945448,70250168
convformer_s18.sail_in22k_ft_in1k_384,384,384,1.0,1.0,26.77,26774448,11576826152,26774448,11631373288,206417848
convformer_s36.sail_in1k,224,224,1.0,1.0,40.01,40012152,7640098728,40012152,7676255976,134826680
convformer_s36.sail_in1k_384,384,384,1.0,1.0,40.01,40012152,22446479528,40012152,22552775656,396193720
convformer_s36.sail_in22k_ft_in1k,224,224,1.0,1.0,40.01,40012152,7640098728,40012152,7676255976,134826680
convformer_s36.sail_in22k_ft_in1k_384,384,384,1.0,1.0,40.01,40012152,22446479528,40012152,22552775656,396193720
convit_base.fb_in1k,224,224,0.875,0.875,86.54,86540040,201554024,86540040,16827769832,68527344
convit_small.fb_in1k,224,224,0.875,0.875,27.78,27777322,92472688,27777322,5365367272,38547506
convit_tiny.fb_in1k,224,224,0.875,0.875,5.71,5710512,34464008,5710512,1082940392,17133336
convmixer_1024_20_ks9_p14.in1k,224,224,0.96,0.96,24.38,24383464,5959379944,24383464,6002811880,48502736
convmixer_1536_20.in1k,224,224,0.96,0.96,51.63,51625960,51163783144,51625960,51424752616,290987984
convmixer_768_32.in1k,224,224,0.96,0.96,21.11,21110248,20728070632,21110248,20934015976,230429648
convnext_atto.d2_in1k,288,224,0.95,0.875,3.7,3695520,910869640,3695520,915841320,26028920
convnext_atto.d2_in1k,224,224,0.875,0.875,3.7,3695520,551148680,3695520,554154280,15747960
convnext_atto_ols.a2_in1k,288,224,0.95,0.875,3.7,3702912,959640712,3702912,964612392,26526584
convnext_atto_ols.a2_in1k,224,224,0.875,0.875,3.7,3702912,580652168,3702912,583657768,16049016
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,256,256,1.0,1.0,88.59,88591464,818454888,88591464,20123001832,152315832
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,384,384,1.0,1.0,88.59,88591464,1735385448,88591464,45275472872,342697912
convnext_base.clip_laion2b_augreg_ft_in1k,256,256,1.0,1.0,88.59,88591464,818454888,88591464,20123001832,152315832
convnext_base.clip_laiona_augreg_ft_in1k_384,384,384,1.0,1.0,88.59,88591464,1735385448,88591464,45275472872,342697912
convnext_base.fb_in1k,288,224,1.0,0.875,88.59,88591464,1013302632,88591464,25467901928,192772024
convnext_base.fb_in1k,224,224,0.875,0.875,88.59,88591464,646530408,88591464,15406913512,116619192
convnext_base.fb_in22k_ft_in1k,288,224,1.0,0.875,88.59,88591464,1013302632,88591464,25467901928,192772024
convnext_base.fb_in22k_ft_in1k,224,224,0.875,0.875,88.59,88591464,646530408,88591464,15406913512,116619192
convnext_base.fb_in22k_ft_in1k_384,384,384,1.0,1.0,88.59,88591464,1735385448,88591464,45275472872,342697912
convnext_femto.d1_in1k,288,224,0.95,0.875,5.22,5217784,1296090280,5217784,1302056296,31234104
convnext_femto.d1_in1k,224,224,0.875,0.875,5.22,5217784,784209064,5217784,787815784,18896952
convnext_femto_ols.d1_in1k,288,224,0.95,0.875,5.23,5226520,1351828648,5226520,1357794664,31731768
convnext_femto_ols.d1_in1k,224,224,0.875,0.875,5.23,5226520,817927336,5226520,821534056,19198008
convnext_large.fb_in1k,288,224,1.0,0.875,197.77,197767336,1964975656,197767336,56929944040,289156536
convnext_large.fb_in1k,224,224,0.875,0.875,197.77,197767336,1263822376,197767336,34439709160,174927288
convnext_large.fb_in22k_ft_in1k,288,224,1.0,0.875,197.77,197767336,1964975656,197767336,56929944040,289156536
convnext_large.fb_in22k_ft_in1k,224,224,0.875,0.875,197.77,197767336,1263822376,197767336,34439709160,174927288
convnext_large.fb_in22k_ft_in1k_384,384,384,1.0,1.0,197.77,197767336,3345371176,197767336,101207593960,514045368
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,256,256,1.0,1.0,200.13,200128168,1594848808,200128168,44984369128,228475320
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,384,384,1.0,1.0,200.13,200128168,3347732008,200128168,101209956328,514048440
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,320,320,1.0,1.0,200.13,200128168,2383646248,200128168,70285883368,356983224
